位置,单词,字段,级别,问题
words.json:222,blue,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:315,care,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:382,clap,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:390,clean,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:402,close,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:419,cold,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:463,cook,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:484,cover,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:497,cross,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:519,dark,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:633,early,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:755,fast,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1003,high,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1226,litter,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1317,metal,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1327,milk,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1487,orange,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1502,outside,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1751,red,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1830,safe,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:1926,shop,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:2083,straight,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
words.json:2175,telephone,meaning,error,中文释义明显是多个义项直接拼接，当前题面会误导答题
